股票代码,股票名称,涨停原因,首板日期,终止日期,最高板数,连续天数,连板类型,图表路径
002181.SZ,粤传媒,三季报扭亏+全运会活动+广州国资+文化传媒,20251031,20251104,3,3,连续3板,./20251031_粤传媒.png
000592.SZ,平潭发展,三季报增长+平潭开发+林业+菌草,20251017,20251105,11,4,最高11板（有断板）,./20251017_平潭发展.png
000592.SZ,平潭发展,海峡两岸+平潭开发+林业+菌草,20251017,20251117,14,3,最高14板（有断板）,./20251017_平潭发展.png
603122.SH,合富中国,两岸医疗+体外诊断+非理性炒作风险,20251028,20251120,13,9,最高13板（有断板）,./20251028_合富中国.png
000892.SZ,欢瑞世纪,AIGC+短剧+互动影游+三季报增长,20251121,20251126,4,4,连续4板,./20251121_欢瑞世纪.png
600408.SH,安泰集团,焦炭+型钢+减亏+循环经济,20251016,20251117,14,5,最高14板（有断板）,./20251016_安泰集团.png
000572.SZ,海马汽车,海南自贸港+氢能汽车+出口,20251031,20251113,6,4,最高6板（有断板）,./20251031_海马汽车.png
000620.SZ,盈新发展,拟收购半导体+具身智能+文旅+短剧游戏,20251020,20251117,13,3,最高13板（有断板）,./20251020_盈新发展.png
603823.SH,百合花,化工+有机颜料+钠离子电池+光刻胶颜料,20251031,20251104,3,3,连续3板,./20251031_百合花.png
002255.SZ,海陆重工,可控核聚变+钍基熔盐实验堆+余热锅炉+三季报增长,20251103,20251107,5,5,连续5板,./20251103_海陆重工.png
601929.SH,吉视传媒,广电+数据要素+卫星数据+国企,20251103,20251105,3,3,连续3板,./20251103_吉视传媒.png
002885.SZ,京泉华,磁性元器件+数据中心+光伏储能+三季报增长,20251103,20251105,3,3,连续3板,./20251103_京泉华.png
002451.SZ,摩恩电气,电磁线+电网设备+泰国生产基地,20251104,20251113,8,8,连续8板,./20251104_摩恩电气.png
001255.SZ,博菲电气,东方电机合作+绝缘材料+风电轨交+专精特新,20251216,20251218,3,3,连续3板,./20251216_博菲电气.png
002639.SZ,雪人集团,可控核聚变+商业航天+氢能装备+制冰设备,20251211,20251219,4,3,最高4板（有断板）,./20251211_雪人集团.png
000993.SZ,闽东电力,海峡两岸+风电+光伏+国企改革,20251104,20251110,4,3,最高4板（有断板）,./20251104_闽东电力.png
002300.SZ,太阳电缆,海底电缆+核电+福建算力+海峡两岸,20251202,20251216,7,4,最高7板（有断板）,./20251202_太阳电缆.png
001209.SZ,洪兴股份,家居服龙头+三胎概念+跨境电商+回购,20251105,20251110,4,4,连续4板,./20251105_洪兴股份.png
001203.SZ,大中矿业,锂矿采矿证+固态电池+铁矿+金属锂,20251113,20251117,3,3,连续3板,./20251113_大中矿业.png
600939.SH,重庆建工,重庆国资+房屋建设+公路工程+中标大单,20251106,20251110,3,3,连续3板,./20251106_重庆建工.png
600078.SH,澄星股份,三季报扭亏+磷化工+临港项目+新材料,20251106,20251110,3,3,连续3板,./20251106_澄星股份.png
002083.SZ,孚日股份,电解液添加剂+涂层材料+股权解冻+国企,20251106,20251117,8,8,连续8板,./20251106_孚日股份.png
300437.SZ,清水源,水处理剂+磷化工+亏损收窄,20251106,20251110,3,3,连续3板,./20251106_清水源.png
002805.SZ,丰元股份,固态电池+磷酸铁锂+草酸+产能利用率提升,20251105,20251117,3,3,连续3板,./20251105_丰元股份.png
000632.SZ,三木集团,海峡两岸+跨境电商+创投+国企改革,20251107,20251117,7,7,连续7板,./20251107_三木集团.png
600693.SH,东百集团,海峡两岸+首店经济+商业零售+仓储物流,20251110,20251114,5,5,连续5板,./20251110_东百集团.png
600693.SH,东百集团,首店经济+海峡两岸+仓储物流,20251205,20251211,5,5,连续5板,./20251205_东百集团.png
600429.SH,三元股份,奶皮子糖葫芦+乳业+三季报增长+北京国资,20251110,20251113,4,4,连续4板,./20251110_三元股份.png
600829.SH,人民同泰,医药流通+流感+黑龙江龙头+哈药集团,20251110,20251117,6,6,连续6板,./20251110_人民同泰.png
603778.SH,国晟科技,固态电池+孚悦科技+光伏组件+异质结,20251110,20251201,11,5,最高11板（有断板）,./20251110_国晟科技.png
600113.SH,浙江东日,预制菜+三季报增长+温州国资+农批运营,20251110,20251112,3,3,连续3板,./20251110_浙江东日.png
002374.SZ,中锐股份,防伪瓶盖+白酒概念+化债预期+回购,20251110,20251112,3,3,连续3板,./20251110_中锐股份.png
000407.SZ,胜利股份,燃气并购+天然气+PE管道,20251111,20251118,6,6,连续6板,./20251111_胜利股份.png
002309.SZ,中利集团,钙钛矿电池+光伏+地方国资+特种线缆,20251111,20251113,3,3,连续3板,./20251111_中利集团.png
003041.SZ,真爱美家,控制权变更+家纺+业绩高增,20251112,20251119,6,6,连续6板,./20251112_真爱美家.png
003018.SZ,金富科技,拟收购蓝原科技+塑料瓶盖+第二主业布局,20251124,20251202,7,7,连续7板,./20251124_金富科技.png
603026.SH,石大胜华,电解液+六氟磷酸锂+宁德时代+国企,20251112,20251114,3,3,连续3板,./20251112_石大胜华.png
601566.SH,九牧王,海峡两岸+男裤+业绩高增+福建自贸区,20251112,20251120,7,7,连续7板,./20251112_九牧王.png
002682.SZ,龙洲股份,海峡两岸+储能+应急装备+卫星导航+国企,20251113,20251118,4,4,连续4板,./20251113_龙洲股份.png
002682.SZ,龙洲股份,海峡两岸+土地收储+卫星导航+国企,20251203,20251212,7,6,最高7板（有断板）,./20251203_龙洲股份.png
600340.SH,华夏幸福,预重整受理+产业新城+机器人概念+债务重组,20251113,20251118,4,4,连续4板,./20251113_华夏幸福.png
000798.SZ,中水渔业,远洋渔业+国企改革+业绩增长+央企,20251114,20251124,7,7,连续7板,./20251114_中水渔业.png
000547.SZ,航天发展,商业航天+天目一号+央企,20251114,20251205,10,5,最高10板（有断板）,./20251114_航天发展.png
603353.SH,和顺石油,拟控股奎芯科技+半导体IP+加油站+华为超充,20251114,20251118,3,3,连续3板,./20251114_和顺石油.png
001216.SZ,华瓷股份,日用陶瓷+陶瓷新材料+越南基地+定增进展,20251114,20251121,5,4,最高5板（有断板）,./20251114_华瓷股份.png
600756.SH,浪潮软件,AI政务+数字政府+山东国资+回购进展,20251117,20251119,3,3,连续3板,./20251117_浪潮软件.png
002474.SZ,榕基软件,信创政务+AI+数据要素+海峡两岸,20251117,20251202,7,5,最高7板（有断板）,./20251117_榕基软件.png
000546.SZ,金圆股份,盐湖提锂+锂矿布局+固废回收,20251117,20251119,3,3,连续3板,./20251117_金圆股份.png
002877.SZ,智能自控,智能控制阀+国产化替代+新能源+新型工业化,20251118,20251120,3,3,连续3板,./20251118_智能自控.png
002213.SZ,大为股份,锂矿资源+存储芯片+境外收入,20251118,20251120,3,3,连续3板,./20251118_大为股份.png
603216.SH,梦天家居,终止筹划收购+芯片概念+高端木作,20251119,20251202,7,5,最高7板（有断板）,./20251119_梦天家居.png
000017.SZ,深中华A,珠宝黄金+锂电池+三季报增长,20251119,20251121,3,3,连续3板,./20251119_深中华A.png
000859.SZ,国风新材,拟收购金张科技+光刻胶+膜材料+国企改革,20251119,20251205,7,4,最高7板（有断板）,./20251119_国风新材.png
600734.SH,实达集团,福建国资+智算中心+两岸融合,20251120,20251208,8,5,最高8板（有断板）,./20251120_实达集团.png
002264.SZ,新华都,AI电商+跨境电商+互联网营销+阿里概念,20251121,20251126,4,4,连续4板,./20251121_新华都.png
688227.SH,品高股份,拟增资江原科技+AI一体机+云计算+军工,20251121,20251125,3,3,连续3板,./20251121_品高股份.png
000070.SZ,特发信息,深圳国资+光通信+净利高增+国企改革,20251121,20251126,4,4,连续4板,./20251121_特发信息.png
001296.SZ,长江材料,3D打印+环保覆膜砂+三季报增长,20251121,20251125,3,3,连续3板,./20251121_长江材料.png
002413.SZ,雷科防务,商业航天+存储芯片+毫米波雷达+卫星导航,20251124,20251209,7,3,最高7板（有断板）,./20251124_雷科防务.png
000952.SZ,广济药业,流感+维生素B2+国企,20251124,20251127,4,4,连续4板,./20251124_广济药业.png
000510.SZ,新金路,高纯石英砂+复产+联席总裁+氯碱化工,20251125,20251127,3,3,连续3板,./20251125_新金路.png
600828.SH,茂业商业,百货零售+川超+天府壹号,20251125,20251210,7,4,最高7板（有断板）,./20251125_茂业商业.png
002702.SZ,海欣食品,海峡两岸+山姆渠道+火锅丸滑+常温新品,20251126,20251205,7,6,最高7板（有断板）,./20251126_海欣食品.png
000078.SZ,海王生物,流感概念+医药流通+创新药+民营龙头,20251126,20251205,7,6,最高7板（有断板）,./20251126_海王生物.png
002632.SZ,道明光学,石墨烯散热膜+反光材料+铝塑膜,20251127,20251203,5,5,连续5板,./20251127_道明光学.png
002792.SZ,通宇通讯,商业航天+投资凌空天行+卫星通信+6G天线,20251127,20251208,5,4,最高5板（有断板）,./20251127_通宇通讯.png
603933.SH,睿能科技,人形机器人+芯片分销+工业自动化,20251127,20251204,5,4,最高5板（有断板）,./20251127_睿能科技.png
002565.SZ,顺灏股份,商业航天+太空算力+环保纸+工业大麻,20251128,20251218,8,4,最高8板（有断板）,./20251128_顺灏股份.png
002976.SZ,瑞玛精密,三腔空气悬架+汽车零部件+定增完成+三季报扭亏,20251128,20251202,3,3,连续3板,./20251128_瑞玛精密.png
600981.SH,苏豪汇鸿,置入紫金财险2.33%股权+大宗贸易+江苏国资,20251128,20251205,4,3,最高4板（有断板）,./20251128_苏豪汇鸿.png
603327.SH,福蓉科技,AI手机+AI眼镜+铝结构件+国企改革,20251201,20251203,3,3,连续3板,./20251201_福蓉科技.png
002348.SZ,高乐股份,实控人变更+潮玩玩具+定增募资,20251202,20251204,3,4,最高3板（有断板）,./20251202_高乐股份.png
603696.SH,安记食品,海峡两岸+调味品+三季报增长,20251202,20251222,8,6,最高8板（有断板）,./20251202_安记食品.png
603386.SH,骏亚科技,人形机器人+PCB+扭亏,20251203,20251209,5,5,连续5板,./20251203_骏亚科技.png
600151.SH,航天机电,航天系+光伏组件+汽车热系统,20251203,20251215,6,3,最高6板（有断板）,./20251203_航天机电.png
601399.SH,国机重装,核电装备+可控核聚变+国企改革+海工装备,20251203,20251205,3,3,连续3板,./20251203_国机重装.png
002589.SZ,瑞康医药,医药流通+中医药+创新药+回购,20251203,20251208,4,4,连续4板,./20251203_瑞康医药.png
002585.SZ,双星新材,BOPET涨价+建筑节能+复合铜箔,20251204,20251208,3,3,连续3板,./20251204_双星新材.png
605299.SH,舒华体育,海峡两岸+体育产业+冰雪产业,20251204,20251209,4,4,连续4板,./20251204_舒华体育.png
603709.SH,中源家居,跨境电商+功能沙发+越南基地+养老,20251204,20251212,5,3,最高5板（有断板）,./20251204_中源家居.png
002752.SZ,昇兴股份,海峡两岸+福建自贸区+金属包装+红牛,20251205,20251209,3,3,连续3板,./20251205_昇兴股份.png
000905.SZ,厦门港务,拟收购集装箱资产+海峡两岸+福建国资+港口物流,20251205,20251210,4,4,连续4板,./20251205_厦门港务.png
003031.SZ,中瓷电子,光通信+CPO+光刻机+氮化镓+央企,20251208,20251210,3,3,连续3板,./20251208_中瓷电子.png
002235.SZ,安妮股份,控制权变更+福建自贸区+防伪溯源+彩票印制,20251208,20251211,4,4,连续4板,./20251208_安妮股份.png
603601.SH,再升科技,商业航天+协议转让+玻璃微纤维+无尘空调,20251208,20251215,6,6,连续6板,./20251208_再升科技.png
601933.SH,永辉超市,零售+胖东来调改+海峡两岸,20251208,20251216,4,3,最高4板（有断板）,./20251208_永辉超市.png
001330.SZ,博纳影业,影视院线+参投阿凡达3+贺岁档+IP储备,20251208,20251218,5,3,最高5板（有断板）,./20251208_博纳影业.png
002725.SZ,跃岭股份,光芯片+磷化铟+铝轮毂出口+回购进展,20251209,20251211,3,3,连续3板,./20251209_跃岭股份.png
001208.SZ,华菱线缆,商业航天+机器人+特种线缆+湖南国资,20251211,20251216,4,4,连续4板,./20251211_华菱线缆.png
002471.SZ,中超控股,燃气轮机订单+商业航天+高温合金+电线电缆,20251211,20251215,3,3,连续3板,./20251211_中超控股.png
000890.SZ,法尔胜,重组+环保+金属制品,20251211,20251216,4,4,连续4板,./20251211_法尔胜.png
600865.SH,百大集团,零售政策+恒隆合作+委托理财+杭州百货,20251211,20251218,6,6,连续6板,./20251211_百大集团.png
600936.SH,广西广电,拟更名北投科技+智慧交通+广西国资+资产置换,20251211,20251219,4,3,最高4板（有断板）,./20251211_广西广电.png
001331.SZ,胜通能源,控制权变更+七腾机器人+LNG+运贸一体,20251212,20251222,7,7,连续7板,./20251212_胜通能源.png
001317.SZ,三羊马,整车物流+一带一路+无人车+新疆振兴,20251215,20251217,3,3,连续3板,./20251215_三羊马.png
601366.SH,利群股份,零售板块+食品工业+智慧物流+即时零售,20251216,20251218,3,3,连续3板,./20251216_利群股份.png
002703.SZ,浙江世宝,L3自动驾驶+线控转向+智能转向+转向系统,20251216,20251219,4,4,连续4板,./20251216_浙江世宝.png
002853.SZ,皮阿诺,实控人拟变更+定制家居+复牌,20251216,20251218,3,4,最高3板（有断板）,./20251216_皮阿诺.png
002788.SZ,鹭燕医药,医药分销+中药饮片+海峡两岸,20251217,20251222,4,4,连续4板,./20251217_鹭燕医药.png
002969.SZ,嘉美包装,控制权变更+三片罐龙头+海峡两岸,20251217,20251222,4,4,连续4板,./20251217_嘉美包装.png
603585.SH,苏利股份,百菌清涨价+农化制品+阻燃剂,20251217,20251219,3,3,连续3板,./20251217_苏利股份.png
002910.SZ,庄园牧场,乳业+宠物经济+甘肃国资,20251217,20251222,4,4,连续4板,./20251217_庄园牧场.png
002188.SZ,中天服务,物业管理+环杭区域+科技赋能+多元业态,20251217,20251219,3,3,连续3板,./20251217_中天服务.png
002361.SZ,神剑股份,商业航天+无人机+聚酯树脂+地方国企,20251218,20251222,3,3,连续3板,./20251218_神剑股份.png
